受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2022-02-08,160008,富山県,,201
2022-02-09,160008,富山県,,211
2022-02-10,160008,富山県,,203
2022-02-11,160008,富山県,,242
2022-02-12,160008,富山県,,264
2022-02-13,160008,富山県,,234
2022-02-14,160008,富山県,,220
2022-02-15,160008,富山県,,188
2022-02-16,160008,富山県,,202
2022-02-17,160008,富山県,,183
2022-02-18,160008,富山県,,196
2022-02-19,160008,富山県,,186
2022-02-20,160008,富山県,,242
2022-02-21,160008,富山県,,187
2022-02-22,160008,富山県,,211
2022-02-23,160008,富山県,,198
2022-02-24,160008,富山県,,197
2022-02-25,160008,富山県,,180
2022-02-26,160008,富山県,,234
2022-02-27,160008,富山県,,204
2022-02-28,160008,富山県,,231
2022-03-01,160008,富山県,,197
2022-03-02,160008,富山県,,189
2022-03-03,160008,富山県,,213
2022-03-04,160008,富山県,,157
2022-03-05,160008,富山県,,197
2022-03-06,160008,富山県,,167
2022-03-07,160008,富山県,,176
2022-03-08,160008,富山県,,158
2022-03-09,160008,富山県,,176
2022-03-10,160008,富山県,,158
2022-03-11,160008,富山県,,147
2022-03-12,160008,富山県,,189
2022-03-13,160008,富山県,,178
2022-03-14,160008,富山県,,188
2022-03-15,160008,富山県,,133
2022-03-16,160008,富山県,,134
2022-03-17,160008,富山県,,112
2022-03-18,160008,富山県,,113
2022-03-19,160008,富山県,,129
2022-03-20,160008,富山県,,136
2022-03-21,160008,富山県,,111
2022-03-22,160008,富山県,,157
2022-03-23,160008,富山県,,108
2022-03-24,160008,富山県,,105
2022-03-25,160008,富山県,,102
2022-03-26,160008,富山県,,143
2022-03-27,160008,富山県,,134
2022-03-28,160008,富山県,,143
2022-03-29,160008,富山県,,101
2022-03-30,160008,富山県,,101
2022-03-31,160008,富山県,,100
2022-04-01,160008,富山県,,74
2022-04-02,160008,富山県,,98
2022-04-03,160008,富山県,,89
2022-04-04,160008,富山県,,114
2022-04-05,160008,富山県,,110
2022-04-06,160008,富山県,,100
2022-04-07,160008,富山県,,112
2022-04-08,160008,富山県,,90
2022-04-09,160008,富山県,,101
2022-04-10,160008,富山県,,109
2022-04-11,160008,富山県,,121
2022-04-12,160008,富山県,,112
2022-04-13,160008,富山県,,83
2022-04-14,160008,富山県,,76
2022-04-15,160008,富山県,,86
2022-04-16,160008,富山県,,84
2022-04-17,160008,富山県,,90
2022-04-18,160008,富山県,,94
2022-04-19,160008,富山県,,78
2022-04-20,160008,富山県,,81
2022-04-21,160008,富山県,,67
2022-04-22,160008,富山県,,91
2022-04-23,160008,富山県,,84
2022-04-24,160008,富山県,,95
2022-04-25,160008,富山県,,108
2022-04-26,160008,富山県,,93
2022-04-27,160008,富山県,,103
2022-04-28,160008,富山県,,88
2022-04-29,160008,富山県,,82
2022-04-30,160008,富山県,,104
2022-05-01,160008,富山県,,67
2022-05-02,160008,富山県,,96
2022-05-03,160008,富山県,,77
2022-05-04,160008,富山県,,105
2022-05-05,160008,富山県,,123
2022-05-06,160008,富山県,,163
2022-05-07,160008,富山県,,143
2022-05-08,160008,富山県,,123
2022-05-09,160008,富山県,,171
2022-05-10,160008,富山県,,160
2022-05-11,160008,富山県,,165
2022-05-12,160008,富山県,,135
2022-05-13,160008,富山県,,107
2022-05-14,160008,富山県,,151
2022-05-15,160008,富山県,,147
2022-05-16,160008,富山県,,152
2022-05-17,160008,富山県,,128
2022-05-18,160008,富山県,,144
2022-05-19,160008,富山県,,114
